,scale__net_elec_imports,scale__per_capita_electricity,scale__biofuel_elec_per_capita,scale__hydro_elec_per_capita,scale__solar_elec_per_capita,scale__wind_elec_per_capita,remainder__country,remainder__year,remainder__GDP_per_capita
936,0.5113913467567756,0.06477012619222211,4.955801513313804e-05,0.009400361584895149,0.005446755011578515,0.0029851474737498662,Iran,2019,5017.117217375022
937,0.5366822267121856,0.004867166063443686,0.003442573154679537,0.005493855096526628,0.00025699217468072425,0.0,Sudan,2013,2213.85205078125
938,0.5506165958336235,0.07581161962039633,0.08825641658809301,0.0013343146208549257,0.002878682129337321,0.11726016719409775,Poland,2016,12936.57325683867
939,0.5361945237929352,0.014304444912326903,0.06866262996696275,0.008077338833963553,0.012074934480861941,0.006521890483344111,Guatemala,2021,4388.436803294506
940,0.5474813627813,0.018769301766727767,0.019439558660241784,0.002150140210187828,0.0005777701768901174,0.0006205001180708727,Indonesia,2020,3780.1412099801914
941,0.5361945237929352,0.013483931491763957,0.06176082191113649,0.007997935365672913,0.011713481458199483,0.0064074083909990516,Guatemala,2020,4124.699981274104
942,0.5366822267121856,0.015163039375410286,0.0,0.006467598688000036,0.0,0.0,Equatorial Guinea,2021,5833.1029320686985
943,0.5325715878213614,0.005153434705620677,0.0,0.0019319908933711847,0.0,0.0,Cote d'Ivoire,2012,1602.9109181589415
944,0.45732599456559603,0.130664726888966,0.020864351595319505,0.005843134255984817,0.0,0.0,Czechia,2002,12959.81748130781
945,0.5366822267121856,0.007862686774208988,0.0059978015039148696,0.0038787813439184766,0.0,0.0,Papua New Guinea,2001,1930.8822560422432
946,0.5366822267121856,0.007603485453323709,0.0,0.0011740181184539738,0.0,0.0,Sao Tome and Principe,2016,1608.8856780034846
947,0.5410018811398314,0.010284595261428385,0.1492482348161291,0.0044296804446459686,0.0,0.0,Eswatini,2000,2411.444924149839
948,0.5366822267121856,0.09227413712516432,0.002594960206195521,0.00036479947428897676,0.06737632251593491,0.017437883595756914,Puerto Rico,2019,30181.272484907116
949,0.5366822267121856,0.022420024347901357,0.0,0.006592866368383514,0.0,0.0,Saint Vincent and the Grenadines,2010,6717.795720354158
950,0.5105552846094893,0.06386596135618276,0.001334221390179225,0.004110168576326086,0.01010312042117135,0.00760426662915195,Ukraine,2016,2185.31713867188
951,0.5366822267121856,0.1765049448260146,0.05504528363632791,0.13531790109508796,0.0,0.13376353239340782,New Zealand,2010,35393.75550081434
952,0.5366822267121856,0.0038704331032211594,0.0,0.00393173300628234,0.0003808661006059654,0.0,Angola,2011,2983.032610914116
953,0.5328502752037901,0.006054445211900119,0.00017131693162403754,0.006557405091773231,0.0,0.0,Ghana,2009,1306.199915069201
954,0.5366822267121856,0.08612544970345425,0.0,0.0,0.0,0.0,Bahamas,2020,23566.5753253459
955,0.5271371838640005,0.13151607872896937,0.08160026248659051,0.12548856857938212,0.0,0.0031362351254027514,Austria,2000,38842.89051958305
956,0.5366822267121856,0.18271985555072873,0.0,0.0,0.14534848785989304,0.0,Cayman Islands,2017,78886.12111068798
957,0.5354978053368633,0.002110510938686949,0.002830360778077927,0.001485577627317215,0.001530859860688055,0.0,Mali,2015,723.5042025001326
958,0.5475510346269072,0.07796592111468868,0.0011325715354995598,0.035031681022837755,0.0012257972072900732,0.0,Serbia,2014,5462.736030066327
959,0.5366822267121856,0.05068595570446968,0.0,0.0,0.0,0.0,Nauru,2000,3328.7989829609505
960,0.5372396014770431,0.00013096636187500126,0.0,0.00010090607165527546,0.0,0.0,Rwanda,2007,498.3159325997125
961,0.498711070856267,0.18189988841073873,0.0,0.2481968385310892,0.0,0.0,Bhutan,2013,2436.861451456315
962,0.5366822267121856,0.0023993523861429696,0.0,0.0,0.0,0.0,Solomon Islands,2011,2129.029152961471
963,0.5468543161708354,0.023115298541628235,0.0,0.0021799315265812903,0.0,0.0,Moldova,2013,2588.3306412005477
964,0.5967393576255835,0.03989691438881177,0.02687240648167571,0.002928606527753122,0.006683645406264879,0.0007263691376376207,Thailand,2012,5425.687867001287
965,0.5370305859402216,0.0017554638101808231,0.005062180356142695,0.0010196798793317145,0.00019875294085020038,0.0,Tanzania,2011,831.390319824219
966,0.5366822267121856,0.09876382697806962,0.0,0.0,0.0,0.0,Oman,2008,21939.84744415235
967,0.5366822267121856,0.0633081207814364,0.0,0.0,0.10087220185903333,0.0,Antigua and Barbuda,2018,16967.086229659777
968,0.5403748345293666,0.0037153951522286587,0.0,0.005265326869482585,0.0,0.0,Lesotho,2021,973.7040092162949
969,0.5276248867832508,0.0019403885950995887,8.1172610993933e-05,0.002655943906987474,0.0001756421337745957,0.002658568464238881,Ethiopia,2016,671.290642669283
970,0.5366822267121856,0.020378062810141984,0.0,0.010493510694493967,0.0,0.0,Dominica,2005,6665.105970834139
